#Digilent WaveForms Oscilloscope Acquisition,,,
#Device Name: Discovery2,,,
#Serial Number: SN:210321AD643B,,,
#Date Time: 2025-02-08 17:53:22.654,,,
#Sample rate: 800Hz,,,
#Samples: 6323,,,
#Trigger: Source: Digital,,,
#Channel 1: Range: 1 V/div Offset: 0 V Sample Mode: Average,,,
#Channel 2: Range: 1 V/div Offset: 0 V Sample Mode: Average,,,
,,,
Time (s),Channel 1 (V),Channel 2 (V),applied_voltage
-1.6775,0.044783434,0.053475056,0
-1.67625,0.048501687,0.053475056,0
-1.675,0.048501687,0.053475056,0
-1.67375,0.048501687,0.053475056,0
-1.6725,0.048501687,0.053475056,0
-1.67125,0.048501687,0.053475056,0
-1.67,0.048501687,0.053475056,0
-1.66875,0.048501687,0.053475056,0
-1.6675,0.048501687,0.053475056,0
-1.66625,0.048501687,0.053475056,0
-1.665,0.048501687,0.053475056,0
-1.66375,0.048501687,0.053475056,0
-1.6625,0.048501687,0.053475056,0
-1.66125,0.048501687,0.053475056,0
-1.66,0.044783434,0.053475056,0
-1.65875,0.048501687,0.053475056,0
-1.6575,0.048501687,0.053475056,0
-1.65625,0.044783434,0.053475056,0
-1.655,0.048501687,0.053475056,0
-1.65375,0.048501687,0.053475056,0
-1.6525,0.048501687,0.053475056,0
-1.65125,0.048501687,0.053475056,0
-1.65,0.048501687,0.053475056,0
-1.64875,0.048501687,0.053475056,0
-1.6475,0.044783434,0.053475056,0
-1.64625,0.048501687,0.053475056,0
-1.645,0.048501687,0.053475056,0
-1.64375,0.044783434,0.053475056,0
-1.6425,0.048501687,0.053475056,0
-1.64125,0.048501687,0.053475056,0
-1.64,0.048501687,0.053475056,0
-1.63875,0.048501687,0.053475056,0
-1.6375,0.048501687,0.053475056,0
-1.63625,0.048501687,0.053475056,0
-1.635,0.048501687,0.053475056,0
-1.63375,0.048501687,0.053475056,0
-1.6325,0.048501687,0.053475056,0
-1.63125,0.048501687,0.053475056,0
-1.63,0.048501687,0.053475056,0
-1.62875,0.048501687,0.053475056,0
-1.6275,0.048501687,0.053475056,0
-1.62625,0.048501687,0.053475056,0
-1.625,0.044783434,0.053475056,0
-1.62375,0.048501687,0.053475056,0
-1.6225,0.048501687,0.053475056,0
-1.62125,0.044783434,0.053475056,0
-1.62,0.044783434,0.053475056,0
-1.61875,0.044783434,0.053475056,0
-1.6175,0.048501687,0.053475056,0
-1.61625,0.044783434,0.053475056,0
-1.615,0.044783434,0.053475056,0
-1.61375,0.048501687,0.053475056,0
-1.6125,0.048501687,0.053475056,0
-1.61125,0.048501687,0.053475056,0
-1.61,0.048501687,0.053475056,0
-1.60875,0.048501687,0.053475056,0
-1.6075,0.048501687,0.053475056,0
-1.60625,0.048501687,0.053475056,0
-1.605,0.048501687,0.053475056,0
-1.60375,0.048501687,0.053475056,0
-1.6025,0.048501687,0.053475056,0
-1.60125,0.048501687,0.053475056,0
-1.6,0.048501687,0.053475056,0
-1.59875,0.048501687,0.053475056,0
-1.5975,0.048501687,0.053475056,0
-1.59625,0.048501687,0.053475056,0
-1.595,0.048501687,0.053475056,0
-1.59375,0.048501687,0.053475056,0
-1.5925,0.044783434,0.053475056,0
-1.59125,0.044783434,0.053475056,0
-1.59,0.048501687,0.053475056,0
-1.58875,0.044783434,0.053475056,0
-1.5875,0.048501687,0.053475056,0
-1.58625,0.048501687,0.053475056,0
-1.585,0.048501687,0.053475056,0
-1.58375,0.048501687,0.053475056,0
-1.5825,0.048501687,0.053475056,0
-1.58125,0.048501687,0.053475056,0
-1.58,0.048501687,0.049763241,0
-1.57875,0.048501687,0.053475056,0
-1.5775,0.048501687,0.053475056,0
-1.57625,0.048501687,0.053475056,0
-1.575,0.048501687,0.053475056,0
-1.57375,0.048501687,0.053475056,0
-1.5725,0.048501687,0.053475056,0
